Platform=Cloudflare One,AWS Region=us-west-1,Instance=ip-172-31-4-143,Timestamp=2025-06-03T20:02:59.715226,Public IP=104.28.233.73,"Location=San Jose, US","Network ASN=AS13335 Cloudflare, Inc.",,
IPERF3-UDP-DL-100M,54.232.52.243,"São Paulo, BR",udp,127839712,100,0.047115098,224,0.2151694459386767
IPERF3-UDP-UL-500M,54.232.52.243,"São Paulo, BR",udp,624954988,499.96,0.020964464302589175,10028,1.9704433497536946
IPERF3-UDP-DL-500M,54.232.52.243,"São Paulo, BR",udp,638767532,499.98,0.013277069,8508,1.6356222689164484
IPERF3-UDP-UL-1000M,54.232.52.243,"São Paulo, BR",udp,1249922256,999.93,0.00775611,225246,22.129543391377137
IPERF3-UDP-DL-1000M,54.232.52.243,"São Paulo, BR",udp,1282661964,999.99,0.06505576,425132,40.70145609
IPERF3-UDP-UL-5000M,54.232.52.243,"São Paulo, BR",udp,3153162616,2522.53,0.009225292,1700193,66.21406056
IPERF3-UDP-DL-5000M,54.232.52.243,"São Paulo, BR",udp,5238832200,4077.49,0.057194087,3525642,82.64224183
IPERF3-TCP,54.237.15.83,"Ashburn, US",tcp,342571476,274.05,271.27,778,
IPERF3-UDP-UL-100M,54.237.15.83,"Ashburn, US",udp,124989524,99.99,0.024546870713884554,25,0.024562058496998516
IPERF3-UDP-DL-100M,54.237.15.83,"Ashburn, US",udp,126326816,99.99,0.047117120251093575,256,0.24885294346372192
IPERF3-UDP-UL-500M,54.237.15.83,"Ashburn, US",udp,624953760,499.96,0.013662854217940577,7287,1.4318556944116954
IPERF3-UDP-DL-500M,54.237.15.83,"Ashburn, US",udp,632198960,499.97,0.035924524,6921,1.3443533662250884
IPERF3-UDP-UL-1000M,54.237.15.83,"Ashburn, US",udp,1249921028,999.93,0.030663664942338176,271171,26.641522187432148
IPERF3-UDP-DL-1000M,54.237.15.83,"Ashburn, US",udp,1267163376,999.98,0.042984542,434362,42.09374624476205
IPERF3-UDP-UL-5000M,54.237.15.83,"Ashburn, US",udp,3127735648,2502.19,0.009904954,1703775,66.89298378965817
IPERF3-UDP-DL-5000M,54.237.15.83,"Ashburn, US",udp,5169270912,4073.31,0.053560271,3498860,83.11810608
IPERF3-TCP,52.52.79.177,"San Jose, US",tcp,380897356,304.72,302.97,881,
IPERF3-UDP-UL-100M,52.52.79.177,"San Jose, US",udp,124989524,99.99,0.041644314,0,0
IPERF3-UDP-DL-100M,52.52.79.177,"San Jose, US",udp,125489320,99.99,0.087251663,265,0.2593208728838438
IPERF3-UDP-UL-500M,52.52.79.177,"San Jose, US",udp,624952532,499.96,0.023894606873213813,7297,1.433823457170984
IPERF3-UDP-DL-500M,52.52.79.177,"San Jose, US",udp,627451512,499.96,0.038041694,10410,2.037365398842166
IPERF3-UDP-UL-1000M,52.52.79.177,"San Jose, US",udp,1249928396,999.94,0.011044356563792471,249759,24.53772975968137
IPERF3-UDP-DL-1000M,52.52.79.177,"San Jose, US",udp,1272291504,999.94,0.04195128,472206,45.57673820637255
IPERF3-UDP-UL-5000M,52.52.79.177,"San Jose, US",udp,3146305464,2517.04,0.008585999,1803889,70.40561437362078
IPERF3-UDP-DL-5000M,52.52.79.177,"San Jose, US",udp,2548881008,2021.33,0.020304317009406225,1409668,67.91499088
